HNCO
Air:
Temp:           
Angstroms       QY
2.409227E+03    1.000000E+00
2.416965E+03    1.000000E+00
2.424704E+03    1.000000E+00
2.432442E+03    1.000000E+00
2.440181E+03    1.000000E+00
2.447920E+03    1.000000E+00
2.455658E+03    1.000000E+00
2.463397E+03    1.000000E+00
2.471135E+03    1.000000E+00
2.478874E+03    1.000000E+00
2.486613E+03    1.000000E+00
2.494351E+03    1.000000E+00
2.502090E+03    1.000000E+00
2.509828E+03    1.000000E+00
2.517567E+03    1.000000E+00
2.525305E+03    1.000000E+00
2.533044E+03    1.000000E+00
2.540783E+03    1.000000E+00
2.548521E+03    1.000000E+00
2.556260E+03    1.000000E+00
2.563998E+03    1.000000E+00
2.571737E+03    1.000000E+00
2.579476E+03    1.000000E+00
2.587214E+03    1.000000E+00
2.594953E+03    1.000000E+00
2.602691E+03    1.000000E+00
2.610430E+03    1.000000E+00
